date,     model,                holdout_accuracy, accuracy, recall,     precision, f1
10/28/19, dummy_most_frequent,  NS,               0.6223,   ,           ,
10/28/19, logreg_gender_only,   0.76555,          0.7958,   0.6959,     0.7455,     0.7189
10/28/19, logreg model_1,       0.77990,          0.8286,   0.7238,     0.8013,     0.7602
10/28/19, logreg model_2,       0.78468,          0.8286,   0.7200,     0.8037,     0.7592
10/28/19, logreg model_3,       0.79425,          0.8384,   0.7162,     0.8306,     0.7691
11/05/19, dtree_model_1,        0.77990,          0.8173,   0.6486,     0.8310,     0.7251
11/05/19, dtree_model_2,        0.78468,          0.8272,   0.7012,     0.8143,     0.7516
11/06/19, xgb_1,                0.78947,          0.8300,   0.7012,     0.8213,     0.7560
11/07/19, xgb_3,                0.77990,          0.8329,   0.6939,     0.8357,     0.7572
